JW_ID	Locustag K-12	Locustag MG1655	Gene name K-12	Locus name K-12	Synonyms of locus names K-12	Solubility(%)	yield_new(uM)	yield_new(ug/ml)	calculated MW(kDa)	calculated pI	Type of gene product	Gene product description	Cell location	Structure (PDB) id	SCOP assignment
JW5091	ECK0637	b0644	ybeQ	ybeQ		27 	2.9 	106 	37.0 	5.6 	d	conserved protein	Cytoplasmic		48439; Protein prenylyltransferase
JW0640	ECK0638	b0645	ybeR	ybeR		12 	1.5 	42 	27.7 	5.7 	o	predicted protein	Cytoplasmic		
JW0641	ECK0639	b0646	djlB	djlB	ybeS	64 	0.2 	12 	55.2 	5.0 	pf	predicted chaperone	Membrane Anchored		46565; Chaperone J-domain
JW0642	ECK0640	b0647	ybeT	ybeT		49 	1.1 	23 	20.9 	10.0 	pm	conserved outer membrane protein	Outer Membrane Lipoprotein		
JW0643	ECK0641	b0648	ybeU	ybeU		12 	3.0 	81 	27.0 	6.0 	pe	predicted tRNA ligase	Cytoplasmic		
JW0645	ECK0643	b0650	hscC	hscC	ybeW	74 	0.8 	50 	61.9 	5.2 	f	"Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription"	Cytoplasmic		"53067; Actin-like ATPase domain -!- 56778; Heat shock protein 70kD (HSP70), C-terminal, substrate-binding fragment"
JW0646	ECK0644	b0651	rihA	rihA	ybeK	81 	1.1 	38 	33.8 	5.3 	e	ribonucleoside hydrolase 1	Cytoplasmic		53590; Nucleoside hydrolase
JW0647	ECK0645	b0652	gltL	gltL		43 	1.9 	51 	26.6 	7.7 	t	glutamate and aspartate transporter subunit -!- ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW5092	ECK0648	b0655	gltI	gltI	ybeJ -!- yzzK	94 	1.8 	61 	33.4 	9.1 	t	glutamate and aspartate transporter subunit -!- periplasmic-binding component of ABC superfamily	Periplasmic		53850; Periplasmic binding protein-like II
JW0654	ECK0649	b0657	lnt	lnt	cutE	3 	0.9 	53 	57.0 	10.0 	e	apolipoprotein N-acyltransferase	Integral Membrane Protein		56317; Nitrilase/N-carbamoyl-D-aminoacid amidohydrolase
JW0655	ECK0650	b0658	ybeX	ybeX		97 	1.4 	48 	33.2 	4.6 	pt	predicteed ion transport	Cytoplasmic		54631; CBS-domain
JW0656	ECK0651	b0659	ybeY	ybeY		115 	0.7 	12 	17.5 	4.4 	o	conserved protein	Cytoplasmic		
JW0657	ECK0652	b0660	ybeZ	ybeZ	phoL	62 	2.6 	108 	40.6 	7.0 	d	predicted protein with nucleoside triphosphate hydrolase domain	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW5298	ECK1825	b4536	yobH	yobH		58 	5.9 	50 	8.5 	10.2 	o	predicted protein	Membrane Anchored		
JW5763	ECK4266	b4560	yjgX	yjgX_3		50 	5.7 	50 	8.7 	7.0 	su	"KpLE2 phage-like element; predicted protein, C-ter fragment (pseudogene)"	Cytoplasmic		
JW0659	ECK0654	b0662	ubiF	ubiF	yleB	14 	1.2 	51 	42.9 	7.4 	e	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase"	Cytoplasmic		51905; FAD/NAD(P)-binding domain
JW0661	ECK0663	b0675	nagD	nagD		7 	3.4 	91 	27.1 	6.1 	e	UMP phosphatase	Cytoplasmic		56784; HAD-like
JW0662	ECK0664	b0676	nagC	nagC	nagR	38 	1.6 	72 	44.5 	7.5 	r	DNA-binding transcriptional dual regulator	Cytoplasmic		46785; Winged helix -!- 53067; Actin-like ATPase domain
JW0663	ECK0665	b0677	nagA	nagA		79 	2.1 	86 	40.9 	6.2 	e	N-acetylglucosamine-6-phosphate deacetylase	Cytoplasmic		51338; Composite domain of metallo-dependent hydrolases
JW0664	ECK0666	b0678	nagB	nagB	glmD	28 	2.3 	70 	29.7 	7.1 	e	glucosamine-6-phosphate deaminase	Cytoplasmic		52512; Glucosamine 6-phosphate deaminase/isomerase
JW0665	ECK0667	b0679	nagE	nagE	ptsN -!- pstN	2 	0.7 	49 	68.3 	6.4 	t	fused N-acetyl glucosamine specific PTS enzyme IICBA components	Integral Membrane Protein		55604; Glucose permease domain IIB -!- 51261; Duplicated hybrid motif
JW0666	ECK0668	b0680	glnS	glnS		30 	0.8 	50 	63.4 	6.2 	e	glutamyl-tRNA synthetase	Cytoplasmic	1O0C	50715; Ribosomal protein L25-like -!- 52374; Nucleotidylyl transferase
JW0667	ECK0669	b0681	ybfM	ybfM		1 	1.1 	58 	52.7 	5.1 	pt	predicted outer membrane porin	Outer Membrane B-barrel protein		
JW0668	ECK0670	b0682	ybfN	ybfN		78 	2.5 	31 	12.0 	8.1 	lp	predicted lipoprotein	Outer Membrane Lipoprotein		
JW0669	ECK0671	b0683	fur	fur		110 	1.5 	25 	16.8 	6.3 	r	DNA-binding transcriptional dual regulator	Cytoplasmic		46785; Winged helix
JW0671	ECK0672	b0684	fldA	fldA		99 	1.3 	26 	19.7 	4.4 	c	flavodoxin 1	Cytoplasmic	1AHN	52218; Flavoproteins
JW5816	ECK0673	b0685	ybfE	ybfE		103 	6.9 	78 	11.3 	10.8 	cp	LexA regulated protein	Cytoplasmic		
JW0673	ECK0674	b0686	ybfF	ybfF		33 	0.3 	9 	28.4 	6.4 	d	conserved protein	Cytoplasmic		53474; alpha/beta-Hydrolases
JW0674	ECK0675	b0687	seqA	seqA		13 	2.2 	45 	20.3 	9.4 	cp	regulatory protein for replication initiation	Cytoplasmic		
JW0675	ECK0676	b0688	pgm	pgm	blu	73 	0.7 	41 	58.3 	5.8 	e	phosphoglucomutase	Cytoplasmic		"53738; Phosphoglucomutase, first 3 domains"
JW5095	ECK0679	b0691	ybfH	ybfH	ybfI	94 	9.6 	73 	7.6 	6.4 	o	predicted protein	Cytoplasmic		
JW0680	ECK0681	b0693	speF	speF		22 	0.5 	42 	82.3 	5.8 	e	"ornithine decarboxylase isozyme, inducible"	Cytoplasmic		53383; PLP-dependent transferases -!- 55904; Ornithine decarboxylase C-terminal domain
JW5096	ECK0682	b0694	kdpE	kdpE		78 	2.1 	53 	25.3 	6.8 	r	DNA-binding response regulator in two-component regulatory system with KdpD	Cytoplasmic		52172; CheY-like
JW0683	ECK0683	b0695	kdpD	kdpD	kac	23 	0.1 	6 	98.6 	6.4 	r	fused sensory histidine kinase in two-component regulatory system with KdpE	Integral Membrane Protein		52431; ETFP adenine nucleotide-binding domain-like -!- 52540; P-loop containing nucleotide triphosphate hydrolases -!- 47384; Homodimeric domain of signal transducing histidine kinase -!- 52540; P-loop containing nucleotide triphosphate hyd
JW0684	ECK0684	b0696	kdpC	kdpC	kac	18 	2.5 	51 	20.2 	9.0 	t	"potassium translocating ATPase, subunit C"	Membrane Anchored		
JW0685	ECK0685	b0697	kdpB	kdpB	kac	8 	0.7 	48 	72.1 	8.0 	t	"potassium translocating ATPase, subunit B"	Integral Membrane Protein		56869; Membrane all-alpha
JW0686	ECK0686	b0698	kdpA	kdpA	kac	10 	0.3 	19 	59.1 	7.8 	t	"potassium translocating ATPase, subunit A"	Integral Membrane Protein		
JW0687	ECK0687	b4513	kdpF	kdpF		29 	8.6 	26 	3.1 	8.2 	f	potassium ion accessory transporter subunit	Membrane Anchored		
JW0688	ECK0688	b0699	ybfA	ybfA		13 	4.9 	40 	8.3 	10.1 	o	predicted protein	Membrane Anchored		
JW0691	ECK0690	b0702	ybfB	ybfB		35 	1.1 	14 	12.5 	10.2 	pm	predicted inner membrane protein	Integral Membrane Protein		
JW0692	ECK0691	b0703	ybfO	ybfO		8 	0.2 	13 	55.2 	7.8 	h	"conserved protein, rhs-like"	Cytoplasmic		
JW0693	ECK0692	b0704	ybfC	ybfC		48 	1.3 	29 	21.9 	9.3 	o	predicted protein	Periplasmic		
JW0694	ECK0693	b4514	ybfQ	ybfQ		58 	2.6 	24 	9.5 	6.2 	ph	predicted transposase	Cytoplasmic		
JW0695	ECK0694	b0705	ybfL	ybfL		16 	1.6 	65 	40.0 	7.7 	su	predicted transposase (pseudogene)	Cytoplasmic		
JW0696	ECK0695	b0706	ybfD	ybfD		23 	1.6 	47 	28.8 	6.3 	d	conserved protein	Cytoplasmic		
JW0697	ECK0696	b0707	ybgA	ybgA	tkp	23 	1.8 	35 	20.2 	10.2 	o	conserved protein	Cytoplasmic		
JW0698	ECK0697	b0708	phr	phr	phrB	2 	0.8 	45 	53.6 	7.3 	e	"deoxyribodipyrimidine photolyase, FAD-binding"	Cytoplasmic	1DNP	48173; FAD-binding (C-terminal) domain of DNA photolyase -!- 52425; N-terminal domain of DNA photolyase
JW0700	ECK0699	b0710	ybgI	ybgI		13 	2.1 	56 	26.9 	5.7 	d	conserved metal-binding protein	Cytoplasmic		
JW0701	ECK0700	b0711	ybgJ	ybgJ		19 	0.3 	7 	23.9 	6.1 	pe	predicted enzyme subunit	Cytoplasmic		
JW0702	ECK0701	b0712	ybgK	ybgK		7 	1.0 	35 	34.4 	8.5 	pe	predicted enzyme subunit	Cytoplasmic		"55239; RuBisCO, small subunit"
JW0703	ECK0702	b0713	ybgL	ybgL		11 	2.1 	55 	25.8 	6.6 	pe	predicted lactam utilization protein	Cytoplasmic		
JW0704	ECK0703	b0714	nei	nei		93 	2.3 	68 	29.8 	8.2 	e	endonuclease VIII -!- 5-formyluracil/5-hydroxymethyluracil DNA glycosylase	Cytoplasmic		56736; DNA repair protein MutM (Fpg)
JW5098	ECK0705	b0716	ybgO	ybgO		53 	1.6 	62 	39.5 	5.4 	ps	predicted fimbrial-like adhesin protein	Periplasmic		49401; Bacterial adhesins
JW0707	ECK0706	b0717	ybgP	ybgP		19 	3.3 	89 	26.9 	10.0 	pf	predicted assembly protein	Periplasmic		49354; PapD-like -!- 49584; Periplasmic chaperone C-domain
JW5099	ECK0707	b0718	ybgQ	ybgQ		11 	0.3 	30 	90.0 	5.2 	pm	predicted outer membrane protein	Outer Membrane B-barrel protein		
JW0710	ECK0709	b0720	gltA	gltA	glut -!- icdB -!- gluT	22 	0.6 	30 	48.0 	6.7 	e	citrate synthase	Cytoplasmic	1K3P	48256; Citrate synthase
JW0711	ECK0710	b0721	sdhC	sdhC	cybA -!- dhsC	43 	0.7 	10 	14.3 	10.6 	m	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"	Integral Membrane Protein	1NEN	56869; Membrane all-alpha
JW0712	ECK0711	b0722	sdhD	sdhD	dhsD	44 	1.2 	15 	12.9 	9.7 	m	"succinate dehydrogenase, membrane subunit, binds cytochrome b556"	Integral Membrane Protein	1NEN	56869; Membrane all-alpha
JW0713	ECK0712	b0723	sdhA	sdhA	dhsA	10 	1.4 	88 	64.4 	6.2 	c	"succinate dehydrogenase, flavoprotein subunit"	Cytoplasmic	1NEN	46977; Succinate dehydrogenase/fumarate reductase C-terminal domain -!- 51905; FAD/NAD(P)-binding domain -!- 56425; Succinate dehydrogenase/fumarate reductase catalytic domain
JW0714	ECK0713	b0724	sdhB	sdhB	dhsB	34 	0.7 	17 	26.7 	7.3 	c	"succinate dehydrogenase, FeS subunit"	Cytoplasmic	1NEN	46548; alpha-helical ferredoxin -!- 54292; 2Fe-2S ferredoxin-like
JW0715	ECK0714	b0726	sucA	sucA	lys -!- met -!- lys+met	7 	0.1 	12 	105.0 	6.3 	e	"2-oxoglutarate decarboxylase, thiamin-requiring"	Cytoplasmic		52518; Thiamin diphosphate-binding fold (THDP-binding)
JW0716	ECK0715	b0727	sucB	sucB	lys -!- met	122 	0.5 	20 	44.0 	6.2 	e	dihydrolipoyltranssuccinase	Cytoplasmic		47005; Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex -!- 51230; Single hybrid motif -!- 52777; CoA-dependent acyltransferases
JW0717	ECK0716	b0728	sucC	sucC		68 	1.3 	53 	41.3 	6.0 	e	"succinyl-CoA synthetase, beta subunit"	Cytoplasmic		52210; Succinyl-CoA synthetase domains -!- 56059; Glutathione synthetase ATP-binding domain-like
JW0718	ECK0717	b0729	sucD	sucD		70 	1.4 	41 	29.7 	7.2 	e	"succinyl-CoA synthetase, NAD(P)-binding, alpha subunit"	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains -!- 52210; Succinyl-CoA synthetase domains
JW0720	ECK0719	b0731	mngA	mngA	hrsA	38 	0.2 	11 	69.6 	6.7 	t	fused 2-O-a-mannosyl-D-glycerate specific PTS enzyme IIABC components	Integral Membrane Protein		55804; Phoshotransferase/anion transport protein -!- 55804; Phoshotransferase/anion transport protein
JW0721	ECK0720	b0732	mngB	mngB	ybgG	4 	0.1 	15 	99.9 	5.6 	e	alpha-mannosidase	Cytoplasmic		69898; Golgi alpha-mannosidase II
JW0725	ECK0724	b0735	ybgE	ybgE		27 	0.9 	10 	10.9 	9.4 	pm	conserved inner membrane protein	Integral Membrane Protein		
JW0726	ECK0725	b0736	ybgC	ybgC	tol-orf1	70 	2.1 	33 	15.5 	8.5 	pe	predicted acyl-CoA thioesterase	Cytoplasmic	1S5U	54637; Thioesterase/thiol ester dehydrase-isomerase
JW0727	ECK0726	b0737	tolQ	tolQ	fii -!- tolP	9 	1.7 	45 	25.6 	8.2 	m	membrane spanning protein in TolA-TolQ-TolR complex	Integral Membrane Protein		
JW0728	ECK0727	b0738	tolR	tolR		24 	2.2 	34 	15.4 	7.4 	m	membrane spanning protein in TolA-TolQ-TolR complex	Membrane Anchored		
JW0729	ECK0728	b0739	tolA	tolA	cim -!- excC -!- lky -!- tol-2	51 	0.4 	15 	43.1 	9.7 	m	membrane anchored protein in TolA-TolQ-TolR complex	Membrane Anchored		
JW5100	ECK0729	b0740	tolB	tolB	lky -!- lkyA -!- tol-3	32 	1.2 	55 	45.9 	8.7 	cp	periplasmic protein	Periplasmic	1C5K	"50960; TolB, C-terminal domain -!- 52964; TolB, N-terminal domain"
JW0731	ECK0730	b0741	pal	pal	excC	81 	3.9 	73 	18.8 	7.9 	lp	peptidoglycan-associated outer membrane lipoprotein	Outer Membrane Lipoprotein		
JW0732	ECK0731	b0742	ybgF	ybgF		20 	2.0 	57 	28.2 	9.4 	d	predicted protein	Periplasmic		48439; Protein prenylyltransferase
JW0733	ECK0739	b0750	nadA	nadA	nicA	35 	1.1 	43 	38.2 	5.7 	e	"quinolinate synthase, subunit A"	Cytoplasmic		
JW0737	ECK0743	b0754	aroG	aroG		100 	0.9 	33 	38.0 	6.7 	e	"3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible"	Cytoplasmic	1QR7	51569; Aldolase
JW0738	ECK0744	b0755	gpmA	gpmA	gpm	103 	1.2 	33 	28.5 	6.7 	e	phosphoglyceromutase 1	Cytoplasmic	1.00E+59	53254; Phosphoglycerate mutase-like
JW0739	ECK0745	b0756	galM	galM		105 	1.1 	40 	38.1 	5.2 	e	galactose-1-epimerase (mutarotase)	Cytoplasmic		
JW0740	ECK0746	b0757	galK	galK	galA	80 	0.9 	35 	41.4 	5.8 	e	galactokinase	Cytoplasmic		54211; Ribosomal protein S5 domain 2-like
JW0741	ECK0747	b0758	galT	galT	galB	61 	0.7 	27 	39.6 	6.4 	e	galactose-1-phosphate uridylyltransferase	Cytoplasmic	1HXQ	54197; HIT-like
JW0742	ECK0748	b0759	galE	galE	galD	10 	0.7 	24 	37.2 	6.4 	e	UDP-galactose-4-epimerase	Cytoplasmic	2UDP	51735; NAD(P)-binding Rossmann-fold domains
JW0743	ECK0749	b0760	modF	modF	phrA -!- chlD	34 	0.6 	35 	54.5 	5.9 	t	fused subunits of molybdate transporter -!- ATP-binding components of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases -!- 52540; P-loop containing nucleotide triphosphate hydrolases
JW0744	ECK0750	b0761	modE	modE	modR -!- chlD	115 	0.7 	19 	28.2 	6.2 	r	DNA-binding transcriptional dual regulator	Cytoplasmic		46785; Winged helix -!- 50331; MOP-like
JW5102	ECK0751	b0762	ybhT	ybhT		29 	8.1 	43 	5.3 	9.2 	o	predicted protein	Membrane Anchored		
JW0746	ECK0752	b0763	modA	modA		99 	0.4 	10 	27.3 	9.2 	t	molybdate transporter subunit -!- periplasmic-binding component of ABC superfamily	Periplasmic	1WOD	53850; Periplasmic binding protein-like II
JW0747	ECK0753	b0764	modB	modB	chlJ -!- tslJ	20 	0.9 	24 	24.9 	11.0 	t	molybdate transporter subunit -!- membrane component of ABC superfamily	Integral Membrane Protein		
JW0749	ECK0755	b0766	ybhA	ybhA	modD	6 	1.7 	51 	30.2 	6.0 	pe	predicted hydrolase	Cytoplasmic		56784; HAD-like
JW0750	ECK0756	b0767	ybhE	ybhE	pgl -!- blu	85 	1.6 	59 	36.3 	5.5 	e	6-phosphogluconolactonase	Cytoplasmic		
JW0752	ECK0758	b0769	ybhH	ybhH		70 	0.3 	10 	37.0 	6.4 	o	conserved protein	Cytoplasmic		
JW5103	ECK0760	b0771	ybhJ	ybhJ		12 	0.3 	28 	81.4 	5.7 	pe	predicted hydratase	Cytoplasmic		"52016; Aconitase, C-terminal domain -!- 53732; Aconitase, first 3 domains"
JW0755	ECK0761	b0772	ybhC	ybhC		71 	1.3 	62 	46.0 	6.6 	pe	predicted pectinesterase	Outer Membrane Lipoprotein		51126; Pectin lyase-like
JW0756	ECK0762	b0773	ybhB	ybhB		112 	1.4 	24 	17.1 	6.2 	pf	predicted kinase inhibitor	Cytoplasmic	1VI3	49777; PEBP-like
JW0757	ECK0763	b0774	bioA	bioA		22 	0.8 	37 	47.3 	6.0 	e	"7,8-diaminopelargonic acid synthase, PLP-dependent"	Cytoplasmic	1QJ5	53383; PLP-dependent transferases
JW0758	ECK0764	b0775	bioB	bioB		59 	1.7 	67 	38.6 	6.0 	e	biotin synthase	Cytoplasmic	1R30	
JW0759	ECK0765	b0776	bioF	bioF		3 	0.8 	33 	41.6 	7.3 	e	8-amino-7-oxononanoate synthase	Cytoplasmic		53383; PLP-dependent transferases
JW0760	ECK0766	b0777	bioC	bioC		6 	0.9 	24 	28.3 	8.6 	pe	"predicted methltransferase, enzyme of biotin synthesis"	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0761	ECK0767	b0778	bioD	bioD		27 	1.8 	43 	24.1 	6.6 	e	dethiobiotin synthetase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0762	ECK0768	b0779	uvrB	uvrB	dar-1 -!- dar-6	22 	0.1 	6 	76.1 	5.2 	cp	"excinulease of nucleotide excision repair, DNA damage recognition component"	Cytoplasmic		"46600; C-terminal, UvrC-binding domain of UvrB -!- 52540; P-loop containing nucleotide triphosphate hydrolases"
JW0763	ECK0769	b0780	ybhK	ybhK		30 	0.6 	18 	32.8 	6.7 	pe	predicted transferase with NAD(P)-binding Rossmann-fold domain	Cytoplasmic		51735; NAD(P)-binding Rossmann-fold domains
JW0764	ECK0770	b0781	moaA	moaA	bisA -!- chlA -!- chlA1 -!- narA	5 	1.6 	60 	37.3 	8.1 	e	molybdopterin biosynthesis protein A	Cytoplasmic		
JW0765	ECK0771	b0782	moaB	moaB	chlA2	105 	1.3 	24 	18.6 	6.7 	pf	molybdopterin biosynthesis protein B	Cytoplasmic	1R2K	53218; Molybdenum cofactor biosynthesis proteins
JW0766	ECK0772	b0783	moaC	moaC	chlA3	87 	3.5 	60 	17.5 	7.7 	pe	"molybdopterin biosynthesis, protein C"	Cytoplasmic	1EKR	"55040; Molybdenum cofactor biosynthesis protein C, MoaC"
JW0768	ECK0774	b0785	moaE	moaE	chlA5	84 	2.6 	43 	17.0 	6.2 	e	"molybdopterin synthase, large subunit"	Cytoplasmic	1NVI	54690; Molybdopterin synthase subunit MoaE
JW0770	ECK0776	b0787	ybhM	ybhM		67 	0.1 	2 	26.1 	8.8 	pm	conserved inner membrane protein	Integral Membrane Protein		
JW0772	ECK0778	b0789	ybhO	ybhO		27 	0.7 	34 	47.6 	8.9 	e	cardiolipin synthase 2	Cytoplasmic		56024; Phospholipase D/nuclease
JW0773	ECK0779	b0790	ybhP	ybhP		14 	2.5 	72 	28.8 	7.2 	pe	predicted DNase	Cytoplasmic		56219; DNase I-like
JW0777	ECK0782	b0793	ybhS	ybhS		8 	2.1 	86 	42.0 	8.7 	pt	predicted transporter subunit -!- membrane component of ABC superfamily	Integral Membrane Protein		
JW5104	ECK0783	b0794	ybhF	ybhF		42 	0.3 	19 	63.1 	5.8 	pt	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases -!- 52540; P-loop containing nucleotide triphosphate hydrolases
JW0779	ECK0784	b0795	ybhG	ybhG		32 	1.3 	47 	36.4 	6.4 	pt	"predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor"	Membrane Anchored		51230; Single hybrid motif
JW0780	ECK0785	b0796	ybiH	ybiH		97 	1.1 	28 	25.0 	6.8 	pr	predicted DNA-binding transcriptional regulator	Cytoplasmic		46689; Homeodomain-like
JW0781	ECK0786	b0797	rhlE	rhlE		63 	0.9 	43 	50.0 	10.6 	e	RNA helicase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0783	ECK0787	b0798	ybiA	ybiA		83 	1.5 	28 	18.7 	10.1 	o	conserved protein	Cytoplasmic		
JW0784	ECK0788	b0799	dinG	dinG	rarB	5 	0.4 	31 	81.4 	7.7 	e	ATP-dependent DNA helicase	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0785	ECK0789	b0800	ybiB	ybiB		8 	1.1 	38 	35.0 	7.1 	pe	predicted transferase/phosphorylase	Cytoplasmic		47648; Pyrimidine nucleoside phosphorylase N-terminal domain -!- 52418; Pyrimidine nucleoside phosphorylase central domain
JW0786	ECK0790	b0801	ybiC	ybiC		11 	1.1 	42 	38.9 	6.3 	pe	predicted dehydrogenase	Cytoplasmic		
JW0788	ECK0792	b0803	ybiI	ybiI		105 	5.1 	50 	9.7 	6.7 	o	conserved protein	Cytoplasmic		
JW5105	ECK0793	b0804	ybiX	ybiX		12 	1.9 	48 	25.5 	6.8 	o	conserved protein	Cytoplasmic		
JW0790	ECK0794	b0805	fiu	fiu	ybiL	11 	0.4 	36 	81.9 	6.0 	pt	predicted iron outer membrane transporter	Outer Membrane B-barrel protein		56935; Porins
JW5107	ECK0796	b0807	ybiN	ybiN		36 	1.8 	61 	34.2 	9.7 	pe	predicted SAM-dependent methyltransferase	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW5108	ECK0797	b0808	ybiO	ybiO		22 	0.1 	10 	81.8 	9.8 	pt	predicted mechanosensitive channel	Integral Membrane Protein		"82861; Mechanosensitive channel protein MscS (YggB), transmembrane region -!- 50182; Sm-like ribonucleoproteins -!- 82689; Mechanosensitive channel protein MscS (YggB), C-terminal domain"
JW0794	ECK0798	b0809	glnQ	glnQ		97 	1.7 	46 	26.7 	6.8 	t	glutamine transporter subunit -!- ATP-binding component of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases
JW0796	ECK0800	b0811	glnH	glnH		62 	1.3 	34 	27.2 	9.3 	t	glutamine transporter subunit -!- periplasmic binding component of ABC superfamily	Periplasmic	1WDN	53850; Periplasmic binding protein-like II
JW0797	ECK0801	b0812	dps	dps	pexB -!- vtm	44 	2.3 	43 	18.7 	6.7 	c	Fe-binding and storage protein	Cytoplasmic	1F33	47240; Ferritin-like
JW0799	ECK0803	b0814	ompX	ompX	ompP -!- ybiG	14 	2.0 	38 	18.6 	8.4 	m	outer membrane protein	Outer Membrane B-barrel protein	1Q9F	56925; Outer membrane protein
JW0800	ECK0804	b0815	ybiP	ybiP		7 	0.7 	44 	59.7 	8.8 	pe	"predicted hydrolase, inner membrane"	Integral Membrane Protein		53649; Alkaline phosphatase-like
JW0803	ECK0809	b0819	ybiS	ybiS		41 	1.8 	59 	33.3 	7.0 	o	conserved protein	Periplasmic		
JW0804	ECK0810	b0820	ybiT	ybiT		43 	1.8 	108 	59.8 	5.0 	pt	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	Cytoplasmic		52540; P-loop containing nucleotide triphosphate hydrolases -!- 52540; P-loop containing nucleotide triphosphate hydrolases
JW0805	ECK0811	b0821	ybiU	ybiU		28 	1.3 	59 	47.3 	6.0 	o	predicted protein	Cytoplasmic		
JW0806	ECK0812	b0822	ybiV	ybiV		77 	2.3 	70 	30.4 	6.6 	pe	predicted hydrolase	Cytoplasmic		56784; HAD-like
JW0807	ECK0813	b0823	ybiW	ybiW	pflF	39 	0.7 	65 	90.0 	5.8 	pe	predicted pyruvate formate lyase	Cytoplasmic		51998; PFL-like glycyl radical enzymes
JW0808	ECK0814	b0824	ybiY	ybiY	pflE	49 	0.7 	23 	34.1 	6.4 	pe	predicted pyruvate formate lyase activating enzyme	Cytoplasmic		54862; 4Fe-4S ferredoxins
JW5109	ECK0815	b0825	fsaA	fsaA	fsa -!- mipB -!- ybiZ	15 	1.5 	34 	23.0 	7.3 	e	fructose-6-phosphate aldolase 1	Cytoplasmic		51569; Aldolase
JW0810	ECK0816	b0826	moeB	moeB	chlN	78 	3.1 	84 	26.7 	5.8 	e	molybdopterin synthase sulfurylase	Cytoplasmic		69572; Molybdenum cofactor biosynthesis protein MoeB
JW0811	ECK0817	b0827	moeA	moeA	bisB -!- chlE -!- narE	65 	1.8 	80 	44.0 	5.5 	f	molybdopterin biosynthesis protein	Cytoplasmic		"53218; Molybdenum cofactor biosynthesis proteins -!- 63882; Molybdenum cofactor biosynthesis protein MoeA, N-terminal and linker domains"
JW0812	ECK0818	b0828	iaaA	iaaA	spt -!- ybiK	52 	1.5 	50 	33.3 	5.2 	e	L-asparaginase	Cytoplasmic		56235; N-terminal nucleophile aminohydrolases (Ntn hydrolases)
JW5111	ECK0820	b0830	yliB	yliB		40 	0.6 	33 	56.4 	8.9 	pt	predicted peptide transporter subunit -!- periplasmic-binding component of ABC superfamily	Periplasmic	1UQW	53850; Periplasmic binding protein-like II
JW0815	ECK0821	b0831	yliC	yliC		3 	1.8 	61 	34.0 	8.9 	pt	predicted peptide transporter subunit -!- membrane component of ABC superfamily	Integral Membrane Protein		
JW0816	ECK0822	b0832	yliD	yliD		10 	0.5 	16 	33.2 	10.4 	pt	predicted peptide transporter subunit -!- membrane component of ABC superfamily	Integral Membrane Protein		
JW0817	ECK0823	b0833	yliE	yliE		4 	0.3 	23 	89.9 	5.9 	pm	conserved inner membrane protein	Integral Membrane Protein		51412; Inosine monophosphate dehydrogenase (IMPDH)
JW0818	ECK0824	b0834	yliF	yliF		10 	0.6 	29 	49.8 	8.2 	pr	predicted diguanylate cyclase	Integral Membrane Protein		
JW0819	ECK0825	b0835	yliG	yliG		73 	1.2 	60 	49.5 	5.6 	pe	predicted SAM-dependent methyltransferase	Cytoplasmic		53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0820	ECK0826	b0836	yliH	yliH		52 	5.5 	79 	14.5 	7.4 	o	conserved protein	Cytoplasmic		
JW0821	ECK0827	b0837	yliI	yliI		22 	0.6 	23 	41.0 	7.1 	pe	predicted dehydrogenase	Periplasmic		50952; Soluble quinoprotein glucose dehydrogenase
JW0822	ECK0828	b0838	yliJ	yliJ		16 	0.6 	14 	23.7 	6.1 	pe	predicted glutathione S-transferase	Cytoplasmic		"47616; Glutathione S-transferases, C-terminal domain -!- 52833; Thioredoxin-like"
JW0823	ECK0829	b0839	dacC	dacC	pbp	21 	0.6 	25 	43.6 	8.8 	e	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)	Periplasmic		"56601; beta-Lactamase/D-ala carboxypeptidase -!- 69189; Penicillin-binding protein 5, C-terminal domain"
